taxa,PC1,PC2
L01_1,-25.7489209080041,-1.97040556598574
L01_10,-23.3505451089951,2.34461606037731
L01_13,-26.2864621365034,4.06884545523683
L01_14,-25.140068582183,3.77546991397074
L01_16,-22.4076706647022,9.86283424650918
L01_17,-24.1270128612638,4.74192260469126
L01_18,-28.1372540871979,3.36045282974408
L01_2,-25.898463540934,2.73391286444795
L01_21,-26.298514320604,8.75910126615339
L01_22,-23.4037955259375,-11.5881829541946
L01_24,-26.4182469626279,10.1906680140382
L01_25,-13.8929969850523,-11.4482104097613
L01_26,-26.0746190273596,1.19751354570882
L01_29,-21.5464032959871,-10.8765278985263
L01_30,-26.1779808991984,5.84201024233451
L01_32,-15.9025561719793,-10.8491561272803
L01_33,0.583172476084183,-12.514259467586
L01_34,-28.6926577659674,3.2344554235213
L01_37,-25.6409964228788,4.23576355354024
L01_38,-21.601441301661,-47.7474037189059
L01_40,-8.63399392235678,9.70403878013573
L01_41,-24.0574684247379,5.19793533548123
L01_42,-25.8794792839873,3.77577804304171
L01_45,-25.9658554216799,-4.03464985217482
L01_46,-25.8768966126438,5.35064754444504
L01_48,-25.9249837064711,9.84057567398624
L01_49,-10.4326057545721,-17.9798869977287
L01_5,-17.1249356927633,-66.9828619238287
L01_50,-26.1776008019059,3.60926153585355
L01_54,-18.0723222838065,4.63434263863602
L01_56,-23.9414982496739,1.50590960225446
L01_57,2.85562740288529,3.32847322325695
L01_58,-22.9219183838979,-0.480362599306886
L01_6,-26.1548717115748,6.24132426853613
L01_61,-26.2383950265448,12.0052384371766
L01_62,-26.7452414124536,3.06283023106213
L01_64,-21.3470528149382,7.39331224752686
L01_65,-20.2816053447019,3.31760433365881
L01_66,-21.4481734477127,3.66304397764556
L01_69,-22.8098045250604,2.81390765425903
L01_70,-23.3886289649739,-11.0237393320331
L01_72,-26.4645427746061,9.27763492861922
L01_73,-20.1665281656899,5.01073227513769
L01_77,-25.6397004367568,5.67920453606525
L01_78,-25.6832793095775,6.21781706845157
L01_8,-26.4703251628686,9.59055693855565
L01_80,-19.2715351338393,-26.5815332298822
L01_81,-20.317757838937,3.06354789375139
L01_82,-24.3652013035673,4.48611020885127
L01_85,-25.798874318373,5.1700702224423
