"","GenoID_RAD","Tag_Date","Tag_ID","Length","Weight","Fin_Clip_Number","Comment","Tank","Treatment","collector","Smolt_Assessment","SA_date","FL","WT","SI_text","SI_code","Tank.1","Tech","SWC_PIT","SWC_mort_14_day","Mort_Date","SWC_Tank","SWC_FL","X48_hr_SWC_mort"
"1247","L15_70","12/8/20","3D6.1D5958A886",64,3.1,1605,NA,7,"LC","jeff","3D6.1D5958A886","4/20/21",75,5.2,"Parr",1,7,"AM","3D6.1D5958A886",1,"5/4/21",34,73,1
"1248","L15_78","12/8/20","3D6.1D594D8443",111,15.1,1606,NA,7,"LC","jeff","3D6.1D594D8443","4/20/21",196,82.2,"Transitional",2,7,"JA","3D6.1D594D8443",1,"5/10/21",35,180,0
"1249","L15_94","12/8/20","3D6.1D5958A8F1",90,7.8,1608,NA,7,"LC","jeff","3D6.1D5958A8F1","4/20/21",162,50.1,"Transitional",2,7,"JA","3D6.1D5958A8F1",1,"5/10/21",35,163,0
"1250","L15_7","12/8/20","3D6.1D59591719",115,17.3,1609,NA,7,"LC","jeff","3D6.1D59591719",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"1253","L15_47","12/8/20","3D6.1D59589F37",98,11.4,1614,NA,7,"LC","jeff","3D6.1D59589F37","4/20/21",169,54.8,"Transitional",2,7,"JA",NA,0,NA,NA,NA,NA
"1255","L15_63","12/8/20","3D6.1D594D838A",100,10.7,1616,NA,7,"LC","jeff","3D6.1D594D838A","4/20/21",194,80,"Transitional",2,7,"JA",NA,0,NA,NA,NA,NA
"1256","L15_79","12/9/20","3D6.1D5958A979",125,24.2,1618,NA,12,"LW","chris","3D6.1D5958A979","4/19/21",221,122.2,"Smolt",3,12,"AM",NA,0,NA,NA,NA,NA
"1257","L15_87","12/9/20","3D6.1D5958A69E",113,15.5,1619,NA,12,"LW","chris","3D6.1D5958A69E","4/19/21",202,87.5,"Smolt",3,12,"AM",NA,0,NA,NA,NA,NA
"1258","L15_16","12/9/20","3D6.1D595913E1",118,18.5,1622,NA,12,"LW","chris","3D6.1D595913E1","4/19/21",202,97,"Smolt",3,12,"AM","3D6.1D595913E1",1,"5/10/21",35,194,0
"1259","L15_24","12/9/20","3D6.1D595874CC",126,20.6,1623,NA,12,"LW","chris","3D6.1D595874CC","4/19/21",206,91,"Smolt",3,12,"AM",NA,0,NA,NA,NA,NA
"1260","L15_40","12/9/20","3D6.1D59592E1A",135,26.5,1625,NA,12,"LW","chris","3D6.1D59592E1A","4/19/21",224,128.9,"Smolt",3,12,"AM",NA,0,NA,NA,NA,NA
"1261","L15_48","12/9/20","3D6.1D5958A74A",104,12.7,1626,NA,12,"LW","chris","3D6.1D5958A74A","4/19/21",175,59.3,"Transitional",2,12,"AM",NA,0,NA,NA,NA,NA
"1262","L15_56","12/9/20","3D6.1D594D6384",133,26.8,1627,NA,12,"LW","chris","3D6.1D594D6384","4/19/21",220,119,"Smolt",3,12,"AM","3D6.1D594D6384",1,"5/7/21",35,175,0
"1263","L15_64","12/9/20","3D6.1D59590054",86,7.4,1628,NA,12,"LW","chris","3D6.1D59590054","4/19/21",151,35.6,"Parr",1,12,"AM","3D6.1D59590054",1,"5/6/21",34,148,0
"1264","L15_72","12/9/20","3D6.1D5959007E",62,2.5,1629,NA,12,"LW","chris","3D6.1D5959007E",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"1265","L15_80","12/9/20","3D6.1D59538704",106,13.7,1630,NA,12,"LW","chris","3D6.1D59538704","4/19/21",180,71.2,"Smolt",3,12,"AM","3D6.1D59538704",1,"5/10/21",35,171,0
"1266","L15_88","12/9/20","3D6.1D59590A0B",119,19,1631,NA,12,"LW","chris","3D6.1D59590A0B","4/19/21",216,122,"Smolt",3,12,"AM",NA,0,NA,NA,NA,NA
"1267","L15_96","12/9/20","3D6.1D5959176A",131,26.5,1632,NA,12,"LW","chris","3D6.1D5959176A","4/19/21",225,136.5,"Smolt",3,12,"AM",NA,0,NA,NA,NA,NA
"1268","L16_1","12/9/20","3D6.1D595926A4",134,25.6,1633,NA,12,"LW","chris","3D6.1D595926A4","4/19/21",249,163.8,"Smolt",3,12,"AM",NA,0,NA,NA,NA,NA
"1269","L16_9","12/9/20","3D6.1D59592516",90,8.2,1634,NA,12,"LW","chris","3D6.1D59592516","4/19/21",174,53.3,"Smolt",3,12,"AM","3D6.1D59592516",1,"5/8/21",34,164,0
"1270","L16_17","12/9/20","3D6.1D59591796",126,24,1635,NA,12,"LW","chris","3D6.1D59591796","4/19/21",213,119.8,"Smolt",3,12,"AM",NA,0,NA,NA,NA,NA
"1271","L16_25","12/9/20","3D6.1D59585F48",102,12.3,1636,NA,12,"LW","chris","3D6.1D59585F48","4/19/21",179,61.8,"Transitional",2,12,"AM","3D6.1D59585F48",1,"5/5/21",34,174,1
"1272","L16_33","12/9/20","3D6.1D5959269D",110,15.2,1637,NA,12,"LW","chris","3D6.1D5959269D","4/19/21",186,72.9,"Smolt",3,12,"AM","3D6.1D5959269D",1,"5/5/21",35,181,1
"1273","L16_41","12/9/20","3D6.1D59588601",122,18.7,1638,NA,12,"LW","chris","3D6.1D59588601","4/19/21",209,95.1,"Smolt",3,12,"AM",NA,0,NA,NA,NA,NA
"1274","L16_49","12/9/20","3D6.1D59538D10",115,17.4,1639,NA,12,"LW","chris","3D6.1D59538D10","4/19/21",200,94.8,"Smolt",3,12,"AM","3D6.1D59538D10",1,"5/13/21",35,200,0
"1275","L16_57","12/9/20","3D6.1D59592914",105,13.6,1640,NA,12,"LW","chris","3D6.1D59592914","4/19/21",199,89.9,"Smolt",3,12,"AM","3D6.1D59592914",1,"5/8/21",34,191,0
"1276","L16_65","12/9/20","3D6.1D5953872F",120,19.8,1641,NA,12,"LW","chris","3D6.1D5953872F","4/19/21",191,79.6,"Smolt",3,12,"AM",NA,0,NA,NA,NA,NA
"1277","L16_73","12/9/20","3D6.1D5958A734",89,7.5,1642,NA,12,"LW","chris","3D6.1D5958A734","4/19/21",171,50.4,"Smolt",3,12,"AM","3D6.1D5958A734",1,"5/6/21",34,165,0
"1278","L16_81","12/9/20","3D6.1D59590F45",104,12.3,1643,NA,12,"LW","chris","3D6.1D59590F45","4/19/21",188,79,"Transitional",2,12,"AM","3D6.1D59590F45",1,"5/10/21",35,181,0
"1279","L16_89","12/9/20","3D6.1D59592FDD",106,12.7,1644,NA,12,"LW","chris","3D6.1D59592FDD","4/19/21",205,93.9,"Smolt",3,12,"AM",NA,0,NA,NA,NA,NA
"1280","L16_2","12/9/20","3D6.1D59591DFA",104,12.1,1645,NA,12,"LW","chris","3D6.1D59591DFA","4/19/21",175,64.2,"Smolt",3,12,"AM","3D6.1D59591DFA",1,"5/5/21",34,174,1
"1281","L16_10","12/9/20","3D6.1D5958B30E",78,7.1,1646,"hunchback",12,"LW","chris","3D6.1D5958B30E","4/19/21",141,36.5,"Transitional",2,12,"AM","3D6.1D5958B30E",1,"5/4/21",34,122,1
"1282","L16_18","12/9/20","3D6.1D595928B0",138,31.3,1647,NA,12,"LW","chris","3D6.1D595928B0","4/19/21",230,145.2,"Smolt",3,12,"AM",NA,0,NA,NA,NA,NA
