sample_name	bam	population
1514	/scratch2/awray/methowWGS/bams/1514.bam	LC
1522	/scratch2/awray/methowWGS/bams/1522.bam	LC
1523	/scratch2/awray/methowWGS/bams/1523.bam	LC
1525	/scratch2/awray/methowWGS/bams/1525.bam	LC
1527	/scratch2/awray/methowWGS/bams/1527.bam	LC
1532	/scratch2/awray/methowWGS/bams/1532.bam	LC
1536	/scratch2/awray/methowWGS/bams/1536.bam	LC
1538	/scratch2/awray/methowWGS/bams/1538.bam	LC
1539	/scratch2/awray/methowWGS/bams/1539.bam	LC
1541	/scratch2/awray/methowWGS/bams/1541.bam	LC
1548	/scratch2/awray/methowWGS/bams/1548.bam	LC
1549	/scratch2/awray/methowWGS/bams/1549.bam	LC
1550	/scratch2/awray/methowWGS/bams/1550.bam	LC
1551	/scratch2/awray/methowWGS/bams/1551.bam	LC
1552	/scratch2/awray/methowWGS/bams/1552.bam	LC
1554	/scratch2/awray/methowWGS/bams/1554.bam	LC
1563	/scratch2/awray/methowWGS/bams/1563.bam	LC
1564	/scratch2/awray/methowWGS/bams/1564.bam	LC
1574	/scratch2/awray/methowWGS/bams/1574.bam	LC
1577	/scratch2/awray/methowWGS/bams/1577.bam	LC
1586	/scratch2/awray/methowWGS/bams/1586.bam	LC
1588	/scratch2/awray/methowWGS/bams/1588.bam	LC
1592	/scratch2/awray/methowWGS/bams/1592.bam	LC
1595	/scratch2/awray/methowWGS/bams/1595.bam	LC
1597	/scratch2/awray/methowWGS/bams/1597.bam	LC
1602	/scratch2/awray/methowWGS/bams/1602.bam	LC
1603	/scratch2/awray/methowWGS/bams/1603.bam	LC
1604	/scratch2/awray/methowWGS/bams/1604.bam	LC
1607	/scratch2/awray/methowWGS/bams/1607.bam	LC
1611	/scratch2/awray/methowWGS/bams/1611.bam	LC
1613	/scratch2/awray/methowWGS/bams/1613.bam	LC
1615	/scratch2/awray/methowWGS/bams/1615.bam	LC
185	/scratch2/awray/methowWGS/bams/185.bam	EC
189	/scratch2/awray/methowWGS/bams/189.bam	EC
193	/scratch2/awray/methowWGS/bams/193.bam	EC
204	/scratch2/awray/methowWGS/bams/204.bam	EC
205	/scratch2/awray/methowWGS/bams/205.bam	EC
206	/scratch2/awray/methowWGS/bams/206.bam	EC
210	/scratch2/awray/methowWGS/bams/210.bam	EC
211	/scratch2/awray/methowWGS/bams/211.bam	EC
217	/scratch2/awray/methowWGS/bams/217.bam	EC
233	/scratch2/awray/methowWGS/bams/233.bam	EC
235	/scratch2/awray/methowWGS/bams/235.bam	EC
239	/scratch2/awray/methowWGS/bams/239.bam	EC
243	/scratch2/awray/methowWGS/bams/243.bam	EC
244	/scratch2/awray/methowWGS/bams/244.bam	EC
249	/scratch2/awray/methowWGS/bams/249.bam	EC
258	/scratch2/awray/methowWGS/bams/258.bam	EC
261	/scratch2/awray/methowWGS/bams/261.bam	EC
266	/scratch2/awray/methowWGS/bams/266.bam	EC
271	/scratch2/awray/methowWGS/bams/271.bam	EC
273	/scratch2/awray/methowWGS/bams/273.bam	EC
281	/scratch2/awray/methowWGS/bams/281.bam	EC
282	/scratch2/awray/methowWGS/bams/282.bam	EC
283	/scratch2/awray/methowWGS/bams/283.bam	EC
288	/scratch2/awray/methowWGS/bams/288.bam	EC
293	/scratch2/awray/methowWGS/bams/293.bam	EC
295	/scratch2/awray/methowWGS/bams/295.bam	EC
304	/scratch2/awray/methowWGS/bams/304.bam	EC
309	/scratch2/awray/methowWGS/bams/309.bam	EC
310	/scratch2/awray/methowWGS/bams/310.bam	EC
314	/scratch2/awray/methowWGS/bams/314.bam	EC
315	/scratch2/awray/methowWGS/bams/315.bam	EC
318	/scratch2/awray/methowWGS/bams/318.bam	EC
319	/scratch2/awray/methowWGS/bams/319.bam	EC
323	/scratch2/awray/methowWGS/bams/323.bam	EC
324	/scratch2/awray/methowWGS/bams/324.bam	EC
326	/scratch2/awray/methowWGS/bams/326.bam	EC
327	/scratch2/awray/methowWGS/bams/327.bam	EC
336	/scratch2/awray/methowWGS/bams/336.bam	EC
339	/scratch2/awray/methowWGS/bams/339.bam	EC
343	/scratch2/awray/methowWGS/bams/343.bam	EC
346	/scratch2/awray/methowWGS/bams/346.bam	EC
350	/scratch2/awray/methowWGS/bams/350.bam	EC
353	/scratch2/awray/methowWGS/bams/353.bam	EC
354	/scratch2/awray/methowWGS/bams/354.bam	EC
355	/scratch2/awray/methowWGS/bams/355.bam	EC
356	/scratch2/awray/methowWGS/bams/356.bam	EC
358	/scratch2/awray/methowWGS/bams/358.bam	EC
359	/scratch2/awray/methowWGS/bams/359.bam	EC
362	/scratch2/awray/methowWGS/bams/362.bam	EC
365	/scratch2/awray/methowWGS/bams/365.bam	EC
368	/scratch2/awray/methowWGS/bams/368.bam	LC
372	/scratch2/awray/methowWGS/bams/372.bam	LC
373	/scratch2/awray/methowWGS/bams/373.bam	LC
379	/scratch2/awray/methowWGS/bams/379.bam	LC
380	/scratch2/awray/methowWGS/bams/380.bam	LC
389	/scratch2/awray/methowWGS/bams/389.bam	LC
392	/scratch2/awray/methowWGS/bams/392.bam	LC
403	/scratch2/awray/methowWGS/bams/403.bam	LC
405	/scratch2/awray/methowWGS/bams/405.bam	LC
410	/scratch2/awray/methowWGS/bams/410.bam	LC
414	/scratch2/awray/methowWGS/bams/414.bam	LC
415	/scratch2/awray/methowWGS/bams/415.bam	LC
420	/scratch2/awray/methowWGS/bams/420.bam	LC
421	/scratch2/awray/methowWGS/bams/421.bam	LC
422	/scratch2/awray/methowWGS/bams/422.bam	LC
426	/scratch2/awray/methowWGS/bams/426.bam	LC
428	/scratch2/awray/methowWGS/bams/428.bam	LC
432	/scratch2/awray/methowWGS/bams/432.bam	LC
435	/scratch2/awray/methowWGS/bams/435.bam	LC
444	/scratch2/awray/methowWGS/bams/444.bam	LC
449	/scratch2/awray/methowWGS/bams/449.bam	LC
451	/scratch2/awray/methowWGS/bams/451.bam	LC
453	/scratch2/awray/methowWGS/bams/453.bam	LC
455	/scratch2/awray/methowWGS/bams/455.bam	LC
457	/scratch2/awray/methowWGS/bams/457.bam	LC
462	/scratch2/awray/methowWGS/bams/462.bam	LC
465	/scratch2/awray/methowWGS/bams/465.bam	LC
468	/scratch2/awray/methowWGS/bams/468.bam	LC
473	/scratch2/awray/methowWGS/bams/473.bam	LC
475	/scratch2/awray/methowWGS/bams/475.bam	LC
487	/scratch2/awray/methowWGS/bams/487.bam	LC
489	/scratch2/awray/methowWGS/bams/489.bam	LC
491	/scratch2/awray/methowWGS/bams/491.bam	LC
497	/scratch2/awray/methowWGS/bams/497.bam	LC
502	/scratch2/awray/methowWGS/bams/502.bam	LC
504	/scratch2/awray/methowWGS/bams/504.bam	LC
507	/scratch2/awray/methowWGS/bams/507.bam	LC
515	/scratch2/awray/methowWGS/bams/515.bam	LC
518	/scratch2/awray/methowWGS/bams/518.bam	LC
523	/scratch2/awray/methowWGS/bams/523.bam	LC
524	/scratch2/awray/methowWGS/bams/524.bam	LC
525	/scratch2/awray/methowWGS/bams/525.bam	LC
526	/scratch2/awray/methowWGS/bams/526.bam	LC
530	/scratch2/awray/methowWGS/bams/530.bam	LC
535	/scratch2/awray/methowWGS/bams/535.bam	LC
547	/scratch2/awray/methowWGS/bams/547.bam	LC
549	/scratch2/awray/methowWGS/bams/549.bam	LC
551	/scratch2/awray/methowWGS/bams/551.bam	LC
552	/scratch2/awray/methowWGS/bams/552.bam	LC
554	/scratch2/awray/methowWGS/bams/554.bam	LC
559	/scratch2/awray/methowWGS/bams/559.bam	LC
563	/scratch2/awray/methowWGS/bams/563.bam	LC
564	/scratch2/awray/methowWGS/bams/564.bam	LC
568	/scratch2/awray/methowWGS/bams/568.bam	LC
573	/scratch2/awray/methowWGS/bams/573.bam	LC
