Tag.Date,Tag_ID,Length,Weight,Fin_Clip_Number,Comment,Tank...7,Treatment,collector,Smolt.Assessment,SA.date,FL,WT,SI.text,SI.code,Tank...16,Tech,SWC.PIT,SWC.mort.14.day,Mort.Date,SWC.Tank,SWC.FL,X48.hr.SWC.mort
2020-12-07T00:00:00Z,3D6.1D595884A5,100,11.8,1215,NA,9,EC,jeff,3D6.1D595884A5,2021-04-22T00:00:00Z,162,46.6,Parr,1,9,JA,3D6.1D595884A5,1,2021-05-05T00:00:00Z,34,162,1
2020-12-07T00:00:00Z,3D6.1D5958A8C3,98,11.6,1311,NA,9,EC,jeff,3D6.1D5958A8C3,2021-04-22T00:00:00Z,139,28.6,Parr,1,9,AM,3D6.1D5958A8C3,1,2021-05-05T00:00:00Z,35,139,1
2020-12-08T00:00:00Z,3D6.1D594D7777,101,11.9,1385,NA,8,EC,jeff,3D6.1D594D7777,2021-04-22T00:00:00Z,164,50.2,Parr,1,8,AM,3D6.1D594D7777,1,2021-05-06T00:00:00Z,34,163,0
2020-12-08T00:00:00Z,3D6.1D59591A6D,89,6.1,1323,NA,8,EC,jeff,3D6.1D59591A6D,2021-04-22T00:00:00Z,126,22.9,Parr,1,8,AM,3D6.1D59591A6D,1,2021-05-05T00:00:00Z,35,133,1
2020-12-07T00:00:00Z,3D6.1D5958B394,84,5.8,1200,NA,9,EC,jeff,3D6.1D5958B394,2021-04-22T00:00:00Z,129,23.1,Parr,1,9,JA,3D6.1D5958B394,1,2021-05-05T00:00:00Z,35,130,1
2020-12-08T00:00:00Z,3D6.1D59592173,123,20.5,1389,NA,8,EC,jeff,3D6.1D59592173,2021-04-22T00:00:00Z,187,72.4,Parr,1,8,AM,3D6.1D59592173,1,2021-05-08T00:00:00Z,34,185,0
2020-12-07T00:00:00Z,3D6.1D5958ADE7,99,10.4,235,NA,9,EC,rob,3D6.1D5958ADE7,2021-04-22T00:00:00Z,160,46.6,Parr,1,9,AM,3D6.1D5958ADE7,1,2021-05-08T00:00:00Z,34,162,0
2020-12-08T00:00:00Z,3D6.1D59589544,91,8.1,1386,NA,8,EC,jeff,3D6.1D59589544,2021-04-22T00:00:00Z,129,24.2,Parr,1,8,AM,3D6.1D59589544,1,2021-05-06T00:00:00Z,35,131,0
2020-12-08T00:00:00Z,3D6.1D59592453,84,6.4,326,NA,8,EC,rob,3D6.1D59592453,2021-04-22T00:00:00Z,122,20.1,Parr,1,8,AM,3D6.1D59592453,1,2021-05-05T00:00:00Z,35,123,1
2020-12-08T00:00:00Z,3D6.1D59585081,97,9.6,353,NA,8,EC,rob,3D6.1D59585081,2021-04-22T00:00:00Z,162,46.9,Parr,1,8,AM,3D6.1D59585081,1,2021-05-04T00:00:00Z,34,160,1
